m_max,r_max,sampleweight
0.0580530259199441,36.7538856214378,9.54329466884191e-05
0.0751963541517034,28.6288702604361,5.64134235003508e-05
0.0598783695488237,60.8923691604286,9.12783253050804e-05
0.0231807934818789,26.4297000854276,0.000174804808665371
0.0732668549194932,8.96438383380882,7.05154978956383e-05
0.0863489033794031,56.8562027602457,3.10293704557315e-05
0.0365534049109556,15.8998085651547,0.000144752034772016
0.0687175386678428,36.1947022087406,7.11597019117613e-05
0.0703710717218928,11.2934139498975,7.18713017473593e-05
0.0912671900866553,38.3199159859214,1.98349746170243e-05
0.0300321563775651,38.1781408563256,0.000159210583917178
0.0377902369503863,45.9035260311794,0.000141552600548156
0.0905646770913154,66.2101077020634,2.14339478001197e-05
0.0544581003626809,55.2355026814621,0.000103615271569835
0.0759427624405362,44.1401760932058,5.47145412798074e-05
0.0509949935809709,59.990082065342,0.000111497566859577
0.0281548927049153,60.765057480894,0.00016348337928193
0.0472585827345029,11.4671620435547,0.000122855490631759
0.02704515716061,38.8347504765261,0.000166009222059847
0.0192217986402102,21.8841798335779,0.000167129400784038
0.0303638376109302,12.8757195302751,0.000159584689821184
0.0488738850899972,27.7366747078486,0.000116325371637568
0.0471987253217958,21.7664119973779,0.000120138163094128
0.0483816859684885,41.4118739974219,0.000117445654395689
0.0209712463361211,29.0661361266393,0.000171111277232653
0.0869923248374835,41.5376823418774,2.95648941204561e-05
0.0698518251208589,15.6642250844743,6.94215240640821e-05
0.0633871697098948,19.7471339837648,8.33618897712474e-05
0.0720839221216738,64.148807345191,6.34975562968073e-05
0.04952612076886,45.7599418447353,0.000114840833463217
0.010672406561207,39.6917560778093,0.000147670332045417
0.0902829693933018,32.9482427879702,2.20751360166841e-05
0.0122467623767443,30.6802941742353,0.000151253686013803
0.0706821286119521,38.0014976754319,6.6688145289681e-05
0.021796804391779,50.7872944662813,0.000172990310362063
0.0960919714672491,10.9202064573765,1.56560647973388e-05
0.0210009205993265,60.7414617866743,0.000171178818120022
0.0716414999798872,14.7047381591983,6.58598173328131e-05
0.065892582363449,13.8259317702614,7.92993239215219e-05
0.0976701021357439,68.8829873036593,5.26145821501489e-06
0.0396951290103607,67.6395687274635,0.000137216920865652
0.0348292498383671,30.5448198551312,0.00014829203315512
0.0736111471662298,15.0132992467843,6.12455708241762e-05
0.0630574378767051,48.6952792946249,8.4042523209988e-05
0.0392761340574361,23.7349201750476,0.000138170585350185
0.0535890150000341,54.8641187895555,0.000105593376171332
0.0550288860290311,13.2652462634724,0.000104051897614958
0.0959318389580585,22.3267481662333,9.21787784670632e-06
0.0985381869086996,23.9154023805168,3.28563103200617e-06
0.04092552640941,10.7514065736905,0.00013746766982183
0.0962001500697806,46.3713395723607,8.60718128277634e-06
0.0360174529673532,63.0011851969175,0.000145587592166951
0.0507277399720624,58.5410953150131,0.00011210585646641
0.0393438106542453,8.52188508724794,0.000143914500337579
0.0166146387555636,48.0562519375235,0.000161195305945586
0.0646461180504412,62.3557022388559,8.04265659093118e-05
0.0789358157385141,7.43304132018238,6.81012272714157e-05
0.0104074548953213,59.8777769040316,0.000147067281836555
0.0683737336611375,46.238729209872,7.19422283412825e-05
0.0160967337829061,52.5055200920906,0.000160016514708749
0.0921163155185059,67.0311735535506,1.79023003410753e-05
0.0900944287073798,38.711509507848,2.25042690045596e-05
0.0271478983387351,53.4716937295161,0.000165775375298703
0.0772076645307243,19.0058270387817,5.1968919726459e-05
0.0208987555722706,15.09563612286,0.000170611208112576
